df_id,model_params,accuracy,AUC,right_correct,Total right,Right correct ratio,Method,ACT,Clean
0,default,0.833333333333333,0.797839505286351,2,2,1,iFOD2,ACT yes,Clean yes
8,default,0.833333333333333,0.820987653864883,3,4,0.75,iFOD2,ACT both,Clean yes
20,default,0.777777777777778,0.771026234353727,6,8,0.75,Both,ACT yes,Clean both
1,default,0.75,0.692901233798011,1,2,0.5,Tensor_Prob,ACT No,Clean yes
3,default,0.638888888888889,0.547839505564129,1,2,0.5,Tensor_Prob,ACT No,Clean no 
4,default,0.694444444444444,0.668209875800754,1,2,0.5,iFOD2,ACT yes,Clean yes
9,default,0.694444444444444,0.681712962584234,2,4,0.5,Tensor_Prob,ACT both,Clean yes
11,default,0.75,0.753858024272548,2,4,0.5,Tensor_Prob,ACT both,Clean no 
14,default,0.888888888888889,0.832947530401449,2,4,0.5,iFOD2,ACT yes,Clean both
16,default,0.777777777777778,0.780478394628129,2,4,0.5,Both,ACT yes,Clean yes
17,default,0.75,0.741126542798139,2,4,0.5,Both,ACT No,Clean yes
21,default,0.694444444444444,0.695408950424115,4,8,0.5,Both,ACT No,Clean both
22,default,0.701388888888889,0.737364968930979,4,8,0.5,Both,ACT yes,Clean yes
23,default,0.798611111111111,0.867283950376372,4,8,0.5,Both,ACT both,Clean no 
24,default,0.763888888888889,0.740547839300465,4,8,0.5,iFOD2,ACT both,Clean both
10,default,0.722222222222222,0.715277777380401,1,4,0.25,iFOD2,ACT both,Clean no 
18,default,0.708333333333333,0.704089505781679,1,4,0.25,Both,ACT yes,Clean no 
25,default,0.763888888888889,0.773533950402413,2,8,0.25,Tensor_Prob,ACT both,Clean both
26,default,0.818181818181818,0.828255660307653,2,16,0.125,Both,ACT both,Clean both
2,default,0.805555555555556,0.850308641030521,0,2,0,iFOD2,ACT yes,Clean no 
5,default,0.75,0.655864196802126,0,2,0,Tensor_Prob,ACT No,Clean yes
6,default,0.638888888888889,0.574074073436214,0,2,0,iFOD2,ACT yes,Clean no 
7,default,0.777777777777778,0.785493826287723,0,2,0,Tensor_Prob,ACT No,Clean no 
12,default,0.597222222222222,0.564814814501029,0,4,0,iFOD2,ACT yes,Clean both
13,default,0.763888888888889,0.692515431714035,0,4,0,Tensor_Prob,ACT No,Clean both
15,default,0.666666666666667,0.624999999652778,0,4,0,Tensor_Prob,ACT No,Clean both
19,default,0.708333333333333,0.723765431696673,0,4,0,Both,ACT No,Clean no 
